ecosystem	package	license
Composer	brick/math	MIT
Composer	carbonphp/carbon-doctrine-types	MIT
Composer	dflydev/dot-access-data	MIT
Composer	doctrine/inflector	MIT
Composer	doctrine/lexer	MIT
Composer	dragonmantank/cron-expression	MIT
Composer	egulias/email-validator	MIT
Composer	fruitcake/php-cors	MIT
Composer	graham-campbell/result-type	MIT
Composer	guzzlehttp/guzzle	MIT
Composer	guzzlehttp/promises	MIT
Composer	guzzlehttp/psr7	MIT
Composer	guzzlehttp/uri-template	MIT
Composer	laminas/laminas-diactoros	BSD-3-Clause
Composer	laravel/framework	MIT
Composer	laravel/octane	MIT
Composer	laravel/prompts	MIT
Composer	laravel/serializable-closure	MIT
Composer	laravel/tinker	MIT
Composer	league/commonmark	BSD-3-Clause
Composer	league/config	BSD-3-Clause
Composer	league/flysystem	MIT
Composer	league/flysystem-local	MIT
Composer	league/mime-type-detection	MIT
Composer	league/uri	MIT
Composer	league/uri-interfaces	MIT
Composer	monolog/monolog	MIT
Composer	nesbot/carbon	MIT
Composer	nette/schema	BSD-3-Clause,GPL-2.0-only,GPL-3.0-only
Composer	nette/utils	BSD-3-Clause,GPL-2.0-only,GPL-3.0-only
Composer	nikic/php-parser	BSD-3-Clause
Composer	nunomaduro/termwind	MIT
Composer	phpoption/phpoption	Apache-2.0
Composer	psr/clock	MIT
Composer	psr/container	MIT
Composer	psr/event-dispatcher	MIT
Composer	psr/http-client	MIT
Composer	psr/http-factory	MIT
Composer	psr/http-message	MIT
Composer	psr/log	MIT
Composer	psr/simple-cache	MIT
Composer	psy/psysh	MIT
Composer	ramsey/collection	MIT
Composer	ramsey/uuid	MIT
Composer	symfony/clock	MIT
Composer	symfony/console	MIT
Composer	symfony/css-selector	MIT
Composer	symfony/deprecation-contracts	MIT
Composer	symfony/error-handler	MIT
Composer	symfony/event-dispatcher	MIT
Composer	symfony/event-dispatcher-contracts	MIT
Composer	symfony/finder	MIT
Composer	symfony/http-foundation	MIT
Composer	symfony/http-kernel	MIT
Composer	symfony/mailer	MIT
Composer	symfony/mime	MIT
Composer	symfony/polyfill-ctype	MIT
Composer	symfony/polyfill-intl-grapheme	MIT
Composer	symfony/polyfill-intl-idn	MIT
Composer	symfony/polyfill-intl-normalizer	MIT
Composer	symfony/polyfill-mbstring	MIT
Composer	symfony/polyfill-php80	MIT
Composer	symfony/polyfill-php82	MIT
Composer	symfony/polyfill-php84	MIT
Composer	symfony/polyfill-php85	MIT
Composer	symfony/polyfill-php86	MIT
Composer	symfony/polyfill-uuid	MIT
Composer	symfony/process	MIT
Composer	symfony/psr-http-message-bridge	MIT
Composer	symfony/routing	MIT
Composer	symfony/service-contracts	MIT
Composer	symfony/string	MIT
Composer	symfony/translation	MIT
Composer	symfony/translation-contracts	MIT
Composer	symfony/uid	MIT
Composer	symfony/var-dumper	MIT
Composer	tijsverkoyen/css-to-inline-styles	BSD-3-Clause
Composer	vlucas/phpdotenv	BSD-3-Clause
Composer	voku/portable-ascii	MIT
npm	@rebble/clay	MIT
